[2025-07-29T06:31:57.436Z] [error]: HIDE::404::NotFound::Route is not exists::
[2025-07-29T06:31:57.540Z] [error]: HIDE::404::NotFound::Route is not exists::
[2025-07-29T06:36:36.271Z] [error]: HIDE::404::NotFound::Username or password is not correct!::
[2025-07-29T07:02:49.041Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:49.542Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:50.044Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:50.545Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:51.046Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:51.549Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:52.052Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:52.553Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:53.054Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:53.555Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:54.057Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:54.558Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:55.060Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:55.562Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:56.063Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:56.567Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:57.069Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:57.571Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:58.102Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:58.603Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:59.104Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:02:59.610Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:00.116Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:00.622Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:01.128Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:01.634Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:02.141Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:02.646Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:03.151Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:03.656Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:04.161Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:04.666Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:05.170Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:05.673Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:06.176Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:06.679Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:07.183Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:07.688Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:08.191Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:08.695Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:09.198Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:09.702Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:10.204Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:10.707Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:11.210Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:11.713Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:12.217Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:12.718Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:13.220Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:13.722Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:14.225Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:14.727Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:15.228Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:15.729Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:16.232Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:16.733Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:17.234Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:17.735Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:18.237Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:18.738Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:19.240Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:19.741Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:20.242Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:20.743Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:21.244Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:21.745Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:22.245Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:22.746Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:23.247Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:23.748Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:24.249Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:24.750Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:25.251Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:25.752Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:26.253Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:26.756Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:27.258Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:27.759Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:28.292Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:28.793Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:29.297Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:29.803Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:30.049Z] [error]: Inventory-SKU sync failed: MongoServerSelectionError: connect ECONNREFUSED 127.0.0.1:27017
[2025-07-29T07:03:30.051Z] [error]: connect ECONNREFUSED 127.0.0.1:27017
[2025-07-29T07:03:30.307Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:30.812Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:31.316Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:31.819Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:32.324Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:32.827Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:33.331Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:33.834Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:34.337Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:34.840Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:35.343Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:35.845Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:36.348Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:36.850Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:37.352Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:37.854Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:38.356Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:38.858Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:39.359Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:39.860Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:40.362Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:40.863Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:41.365Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:41.868Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:42.369Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:42.871Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:43.372Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:43.874Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:44.375Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:44.876Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:45.378Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:45.879Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:46.381Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:46.882Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:47.382Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:47.883Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:48.385Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:48.885Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:49.386Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:49.887Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:50.388Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:50.889Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:51.390Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:51.891Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:52.394Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:52.896Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:53.398Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:53.900Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:54.401Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:54.903Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:55.403Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:55.904Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:56.406Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:56.907Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:57.408Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:57.909Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:58.448Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:58.948Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:59.453Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:03:59.959Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:00.465Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:00.970Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:01.474Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:01.978Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:02.482Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:02.986Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:03.489Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:03.992Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:04.495Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:04.998Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:05.500Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:06.002Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:06.504Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:07.006Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:07.508Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:08.010Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:08.511Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:09.014Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:09.517Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:10.020Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:10.525Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:11.028Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:11.530Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:12.033Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:12.535Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:13.038Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:13.541Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:14.044Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:14.546Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:15.050Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:15.552Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:16.056Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:16.557Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:17.059Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:17.561Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:18.063Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:18.565Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:19.066Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:19.568Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:20.071Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:20.572Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:21.075Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:21.576Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:22.077Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:22.578Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:23.081Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:23.583Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:24.085Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:24.588Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:25.091Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:25.594Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:26.097Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:26.600Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:27.103Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:27.605Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:28.108Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:28.635Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:29.137Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-07-29T07:04:29.643Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
