[2025-05-16T14:13:05.046Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:05.048Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:05.099Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:05.200Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:05.350Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:05.552Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:05.804Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:06.106Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:06.457Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:06.858Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:07.309Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:07.811Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:08.312Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:08.814Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:09.316Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:09.818Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:10.320Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:10.821Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:11.322Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:11.823Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:12.326Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:12.827Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:13.329Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:13.831Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:14.333Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:13:14.834Z] [error]: Redis error: Error: connect ECONNREFUSED 127.0.0.1:6379
[2025-05-16T14:20:24.595Z] [error]: HIDE::404::NotFound::Route is not exists::
[2025-05-16T14:20:24.861Z] [error]: HIDE::404::NotFound::Route is not exists::
[2025-05-16T14:22:28.233Z] [error]: HIDE::409::Conflict::User is exists!::
[2025-05-16T14:22:44.411Z] [error]: HIDE::400::ValidationError::"locationId" must only contain hexadecimal characters::
[2025-05-16T14:22:44.418Z] [error]: HIDE::400::ValidationError::"locationId" must only contain hexadecimal characters::
[2025-05-16T14:22:59.288Z] [error]: HIDE::400::ValidationError::"locationId" must only contain hexadecimal characters::
[2025-05-16T14:22:59.294Z] [error]: HIDE::400::ValidationError::"locationId" must only contain hexadecimal characters::
[2025-05-16T14:24:45.932Z] [error]: HIDE::400::ValidationError::"locationId" must only contain hexadecimal characters::
[2025-05-16T14:24:45.948Z] [error]: HIDE::400::ValidationError::"locationId" must only contain hexadecimal characters::
[2025-05-16T14:24:49.856Z] [error]: HIDE::400::ValidationError::"locationId" must only contain hexadecimal characters::
[2025-05-16T14:24:49.877Z] [error]: HIDE::400::ValidationError::"locationId" must only contain hexadecimal characters::
[2025-05-16T14:28:25.950Z] [error]: InvalidTokenError: Invalid token specified: missing part #2
[2025-05-16T14:28:25.951Z] [error]: HIDE::403::Token error::Invalid token payload!::
[2025-05-16T14:28:26.409Z] [error]: InvalidTokenError: Invalid token specified: missing part #2
[2025-05-16T14:28:26.410Z] [error]: HIDE::403::Token error::Invalid token payload!::
[2025-05-16T14:28:48.981Z] [error]: InvalidTokenError: Invalid token specified: missing part #2
[2025-05-16T14:28:48.981Z] [error]: HIDE::403::Token error::Invalid token payload!::
[2025-05-16T14:28:50.051Z] [error]: InvalidTokenError: Invalid token specified: missing part #2
[2025-05-16T14:28:50.052Z] [error]: HIDE::403::Token error::Invalid token payload!::
[2025-05-16T14:29:27.387Z] [error]: HIDE::403::Token error::Token not found!::
[2025-05-16T14:29:53.384Z] [error]: InvalidTokenError: Invalid token specified: missing part #2
[2025-05-16T14:29:53.384Z] [error]: HIDE::403::Token error::Invalid token payload!::
[2025-05-16T14:30:09.137Z] [error]: InvalidTokenError: Invalid token specified: missing part #2
[2025-05-16T14:30:09.138Z] [error]: HIDE::403::Token error::Invalid token payload!::
[2025-05-16T14:30:26.312Z] [error]: InvalidTokenError: Invalid token specified: missing part #2
[2025-05-16T14:30:26.312Z] [error]: HIDE::403::Token error::Invalid token payload!::
[2025-05-16T14:31:57.749Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.763Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.776Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.792Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.805Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.819Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.831Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.844Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.857Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.871Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.883Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.896Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.909Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.925Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.939Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.954Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.968Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.982Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:57.996Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.009Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.022Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.036Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.051Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.066Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.081Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.096Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.116Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.130Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.144Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.157Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.171Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.185Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.204Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.223Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.239Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.256Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.274Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.297Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.317Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.334Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.351Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.370Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.396Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.982Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.985Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.989Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.995Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:58.999Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:31:59.012Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:32:12.707Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:32:12.710Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:32:12.711Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:32:12.715Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:32:12.717Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:32:12.718Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:32:20.092Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:32:20.102Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:32:20.108Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:32:20.115Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:32:20.120Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:32:20.125Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:32:28.330Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:32:28.336Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:32:28.338Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:32:28.344Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:32:28.347Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:32:28.353Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:35:34.993Z] [error]: HIDE::400::BadRequest::Create SKU failed!::
[2025-05-16T14:35:43.820Z] [error]: InvalidTokenError: Invalid token specified: missing part #2
[2025-05-16T14:35:43.821Z] [error]: HIDE::403::Forbidden::Invalid token payload!::
[2025-05-16T14:35:44.889Z] [error]: InvalidTokenError: Invalid token specified: missing part #2
[2025-05-16T14:35:44.889Z] [error]: HIDE::403::Forbidden::Invalid token payload!::
[2025-05-16T14:35:46.662Z] [error]: InvalidTokenError: Invalid token specified: missing part #2
[2025-05-16T14:35:46.663Z] [error]: HIDE::403::Forbidden::Invalid token payload!::
[2025-05-16T14:37:06.715Z] [error]: InvalidTokenError: Invalid token specified: missing part #2
[2025-05-16T14:37:06.716Z] [error]: HIDE::403::Forbidden::Invalid token payload!::
[2025-05-16T14:37:13.384Z] [error]: HIDE::400::BadRequest::Create SKU failed!::
[2025-05-16T14:37:57.525Z] [error]: HIDE::400::BadRequest::Create SKU failed!::
[2025-05-16T14:40:36.966Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:40:36.967Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:40:36.974Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:40:36.976Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:40:36.981Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:40:36.985Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:44:48.454Z] [error]: HIDE::400::BadRequest::Create SKU failed!::
[2025-05-16T14:45:43.454Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:45:43.455Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:45:43.459Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:45:43.465Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:45:43.471Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:45:43.479Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:45:55.066Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:45:55.067Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:45:55.072Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:45:55.075Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:45:55.082Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:45:55.088Z] [error]: HIDE::403::Forbidden::Token is expired or invalid!::
[2025-05-16T14:47:33.029Z] [error]: HIDE::400::ValidationError::"sku_images" is required::
[2025-05-16T16:31:57.396Z] [error]: HIDE::404::NotFound::Route is not exists::
[2025-05-16T16:31:57.673Z] [error]: HIDE::404::NotFound::Route is not exists::
[2025-05-16T16:36:37.977Z] [error]: HIDE::404::NotFound::Route is not exists::
[2025-05-16T16:36:38.811Z] [error]: HIDE::404::NotFound::Route is not exists::
[2025-05-16T16:37:22.095Z] [error]: HIDE::404::NotFound::Route is not exists::
[2025-05-16T16:37:54.462Z] [error]: HIDE::400::ValidationError::"phoneNumber" with value "tranvanconkg@gmail.com" fails to match the required pattern: /(\+84|84|0[3|5|7|8|9])+([0-9]{8})\b/::
[2025-05-16T16:46:27.513Z] [error]: HIDE::400::ValidationError::"password" with value "Anhnam9ce" fails to match the required pattern: /^(?=.*[a-z])(?=.*[A-Z])(?=.*\d)(?=.*[@$!%*?&])[A-Za-z\d@$!%*?&]{8,}$/::
