[2025-03-25T00:22:10.395Z] [error]: HIDE::500::MongoServerError::Cannot do exclusion on field __v in inclusion projection::
[2025-03-25T00:24:30.390Z] [error]: HIDE::500::MongoServerError::Cannot do exclusion on field __v in inclusion projection::
[2025-03-25T01:23:25.871Z] [error]: HIDE::404::NotFound::Token not found!::
[2025-03-25T01:23:34.471Z] [error]: HIDE::404::NotFound::Key token not found!::
[2025-03-25T01:23:44.919Z] [error]: HIDE::404::NotFound::Token not found!::
[2025-03-25T01:23:46.586Z] [error]: HIDE::404::NotFound::Token not found!::
[2025-03-25T01:24:22.821Z] [error]: HIDE::500::ValidationError::"provinceId" is required::
[2025-03-25T01:24:36.458Z] [error]: HIDE::500::ValidationError::"provinceId" length must be 24 characters long::
[2025-03-25T02:58:00.007Z] [error]: Client must be connected before running operations
[2025-03-25T02:58:00.008Z] [error]: Client must be connected before running operations
[2025-03-25T02:58:00.009Z] [error]: Client must be connected before running operations
[2025-03-25T02:58:00.010Z] [error]: Client must be connected before running operations
[2025-03-25T02:58:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T02:58:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T02:59:00.042Z] [error]: Client must be connected before running operations
[2025-03-25T02:59:00.045Z] [error]: Client must be connected before running operations
[2025-03-25T02:59:00.058Z] [error]: Client must be connected before running operations
[2025-03-25T02:59:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T02:59:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T02:59:00.064Z] [error]: Client must be connected before running operations
[2025-03-25T03:00:00.015Z] [error]: Client must be connected before running operations
[2025-03-25T03:00:00.018Z] [error]: Client must be connected before running operations
[2025-03-25T03:00:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:00:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:00:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:00:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:00:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:00:00.066Z] [error]: Client must be connected before running operations
[2025-03-25T03:01:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:01:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:01:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:01:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:01:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:01:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:01:00.065Z] [error]: Client must be connected before running operations
[2025-03-25T03:01:00.066Z] [error]: Client must be connected before running operations
[2025-03-25T03:02:00.051Z] [error]: Client must be connected before running operations
[2025-03-25T03:02:00.052Z] [error]: Client must be connected before running operations
[2025-03-25T03:02:00.058Z] [error]: Client must be connected before running operations
[2025-03-25T03:02:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:02:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:02:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:02:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:02:00.064Z] [error]: Client must be connected before running operations
[2025-03-25T03:03:00.038Z] [error]: Client must be connected before running operations
[2025-03-25T03:03:00.040Z] [error]: Client must be connected before running operations
[2025-03-25T03:03:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:03:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:03:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:03:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:03:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:03:00.064Z] [error]: Client must be connected before running operations
[2025-03-25T03:04:00.058Z] [error]: Client must be connected before running operations
[2025-03-25T03:04:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:04:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:04:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:04:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:04:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:04:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:04:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:05:00.055Z] [error]: Client must be connected before running operations
[2025-03-25T03:05:00.056Z] [error]: Client must be connected before running operations
[2025-03-25T03:05:00.058Z] [error]: Client must be connected before running operations
[2025-03-25T03:05:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:05:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:05:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:05:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:05:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:06:00.029Z] [error]: Client must be connected before running operations
[2025-03-25T03:06:00.031Z] [error]: Client must be connected before running operations
[2025-03-25T03:06:00.052Z] [error]: Client must be connected before running operations
[2025-03-25T03:06:00.053Z] [error]: Client must be connected before running operations
[2025-03-25T03:06:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:06:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:06:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:06:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:07:00.038Z] [error]: Client must be connected before running operations
[2025-03-25T03:07:00.039Z] [error]: Client must be connected before running operations
[2025-03-25T03:07:00.058Z] [error]: Client must be connected before running operations
[2025-03-25T03:07:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:07:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:07:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:07:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:07:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:08:00.046Z] [error]: Client must be connected before running operations
[2025-03-25T03:08:00.046Z] [error]: Client must be connected before running operations
[2025-03-25T03:08:00.047Z] [error]: Client must be connected before running operations
[2025-03-25T03:08:00.047Z] [error]: Client must be connected before running operations
[2025-03-25T03:08:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:08:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:08:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:08:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:09:00.058Z] [error]: Client must be connected before running operations
[2025-03-25T03:09:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:09:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:09:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:09:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:09:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:09:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:09:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:10:00.032Z] [error]: Client must be connected before running operations
[2025-03-25T03:10:00.032Z] [error]: Client must be connected before running operations
[2025-03-25T03:10:00.033Z] [error]: Client must be connected before running operations
[2025-03-25T03:10:00.033Z] [error]: Client must be connected before running operations
[2025-03-25T03:10:00.058Z] [error]: Client must be connected before running operations
[2025-03-25T03:10:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:10:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:10:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:11:00.038Z] [error]: Client must be connected before running operations
[2025-03-25T03:11:00.038Z] [error]: Client must be connected before running operations
[2025-03-25T03:11:00.039Z] [error]: Client must be connected before running operations
[2025-03-25T03:11:00.039Z] [error]: Client must be connected before running operations
[2025-03-25T03:11:00.058Z] [error]: Client must be connected before running operations
[2025-03-25T03:11:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:11:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:11:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:12:00.042Z] [error]: Client must be connected before running operations
[2025-03-25T03:12:00.043Z] [error]: Client must be connected before running operations
[2025-03-25T03:12:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:12:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:12:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:12:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:12:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:12:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:13:00.058Z] [error]: Client must be connected before running operations
[2025-03-25T03:13:00.058Z] [error]: Client must be connected before running operations
[2025-03-25T03:13:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:13:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:13:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:13:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:13:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:13:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:14:00.058Z] [error]: Client must be connected before running operations
[2025-03-25T03:14:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:14:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:14:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:14:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:14:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:14:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:14:00.064Z] [error]: Client must be connected before running operations
[2025-03-25T03:15:00.040Z] [error]: Client must be connected before running operations
[2025-03-25T03:15:00.041Z] [error]: Client must be connected before running operations
[2025-03-25T03:15:00.058Z] [error]: Client must be connected before running operations
[2025-03-25T03:15:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:15:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:15:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:15:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:15:00.064Z] [error]: Client must be connected before running operations
[2025-03-25T03:17:44.239Z] [error]: Client must be connected before running operations
[2025-03-25T03:17:44.241Z] [error]: Client must be connected before running operations
[2025-03-25T03:17:44.242Z] [error]: Client must be connected before running operations
[2025-03-25T03:17:44.242Z] [error]: Client must be connected before running operations
[2025-03-25T03:17:44.243Z] [error]: Client must be connected before running operations
[2025-03-25T03:17:44.244Z] [error]: Client must be connected before running operations
[2025-03-25T03:17:44.244Z] [error]: Client must be connected before running operations
[2025-03-25T03:17:44.245Z] [error]: Client must be connected before running operations
[2025-03-25T03:18:00.017Z] [error]: Client must be connected before running operations
[2025-03-25T03:18:00.018Z] [error]: Client must be connected before running operations
[2025-03-25T03:18:00.018Z] [error]: Client must be connected before running operations
[2025-03-25T03:18:00.019Z] [error]: Client must be connected before running operations
[2025-03-25T03:18:00.020Z] [error]: Client must be connected before running operations
[2025-03-25T03:18:00.021Z] [error]: Client must be connected before running operations
[2025-03-25T03:18:00.024Z] [error]: Client must be connected before running operations
[2025-03-25T03:18:00.024Z] [error]: Client must be connected before running operations
[2025-03-25T03:19:00.044Z] [error]: Client must be connected before running operations
[2025-03-25T03:19:00.046Z] [error]: Client must be connected before running operations
[2025-03-25T03:19:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:19:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:19:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:19:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:19:00.066Z] [error]: Client must be connected before running operations
[2025-03-25T03:19:00.066Z] [error]: Client must be connected before running operations
[2025-03-25T03:20:00.002Z] [error]: Client must be connected before running operations
[2025-03-25T03:20:00.003Z] [error]: Client must be connected before running operations
[2025-03-25T03:20:00.049Z] [error]: Client must be connected before running operations
[2025-03-25T03:20:00.050Z] [error]: Client must be connected before running operations
[2025-03-25T03:20:00.050Z] [error]: Client must be connected before running operations
[2025-03-25T03:20:00.052Z] [error]: Client must be connected before running operations
[2025-03-25T03:20:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:20:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:21:00.024Z] [error]: Client must be connected before running operations
[2025-03-25T03:21:00.026Z] [error]: Client must be connected before running operations
[2025-03-25T03:21:00.053Z] [error]: Client must be connected before running operations
[2025-03-25T03:21:00.054Z] [error]: Client must be connected before running operations
[2025-03-25T03:21:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:21:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:21:00.064Z] [error]: Client must be connected before running operations
[2025-03-25T03:21:00.064Z] [error]: Client must be connected before running operations
[2025-03-25T03:22:00.025Z] [error]: Client must be connected before running operations
[2025-03-25T03:22:00.028Z] [error]: Client must be connected before running operations
[2025-03-25T03:22:00.044Z] [error]: Client must be connected before running operations
[2025-03-25T03:22:00.045Z] [error]: Client must be connected before running operations
[2025-03-25T03:22:00.048Z] [error]: Client must be connected before running operations
[2025-03-25T03:22:00.050Z] [error]: Client must be connected before running operations
[2025-03-25T03:22:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:22:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:23:00.020Z] [error]: Client must be connected before running operations
[2025-03-25T03:23:00.022Z] [error]: Client must be connected before running operations
[2025-03-25T03:23:00.044Z] [error]: Client must be connected before running operations
[2025-03-25T03:23:00.045Z] [error]: Client must be connected before running operations
[2025-03-25T03:23:00.048Z] [error]: Client must be connected before running operations
[2025-03-25T03:23:00.049Z] [error]: Client must be connected before running operations
[2025-03-25T03:23:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:23:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:24:00.004Z] [error]: Client must be connected before running operations
[2025-03-25T03:24:00.006Z] [error]: Client must be connected before running operations
[2025-03-25T03:24:00.024Z] [error]: Client must be connected before running operations
[2025-03-25T03:24:00.025Z] [error]: Client must be connected before running operations
[2025-03-25T03:24:00.058Z] [error]: Client must be connected before running operations
[2025-03-25T03:24:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:24:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:24:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:25:00.021Z] [error]: Client must be connected before running operations
[2025-03-25T03:25:00.022Z] [error]: Client must be connected before running operations
[2025-03-25T03:25:00.049Z] [error]: Client must be connected before running operations
[2025-03-25T03:25:00.050Z] [error]: Client must be connected before running operations
[2025-03-25T03:25:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:25:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:25:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:25:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:26:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:26:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:26:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:26:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:26:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:26:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:26:00.064Z] [error]: Client must be connected before running operations
[2025-03-25T03:26:00.064Z] [error]: Client must be connected before running operations
[2025-03-25T03:27:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:27:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:27:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:27:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:27:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:27:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:27:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:27:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:28:00.022Z] [error]: Client must be connected before running operations
[2025-03-25T03:28:00.024Z] [error]: Client must be connected before running operations
[2025-03-25T03:28:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:28:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:28:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:28:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:28:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:28:00.064Z] [error]: Client must be connected before running operations
[2025-03-25T03:29:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:29:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:29:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:29:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:29:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:29:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:29:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:29:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:30:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:30:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:30:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:30:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:30:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:30:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:30:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:30:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:31:00.040Z] [error]: Client must be connected before running operations
[2025-03-25T03:31:00.042Z] [error]: Client must be connected before running operations
[2025-03-25T03:31:00.049Z] [error]: Client must be connected before running operations
[2025-03-25T03:31:00.050Z] [error]: Client must be connected before running operations
[2025-03-25T03:31:00.058Z] [error]: Client must be connected before running operations
[2025-03-25T03:31:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:31:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:31:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:32:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:32:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:32:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:32:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:32:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:32:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:32:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:32:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:33:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:33:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:33:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:33:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:33:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:33:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:33:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:33:00.064Z] [error]: Client must be connected before running operations
[2025-03-25T03:33:40.766Z] [error]: HIDE::404::NotFound::Route not exist!::
[2025-03-25T03:33:42.437Z] [error]: HIDE::404::NotFound::Route not exist!::
[2025-03-25T03:34:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:34:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:34:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:34:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:34:00.064Z] [error]: Client must be connected before running operations
[2025-03-25T03:34:00.065Z] [error]: Client must be connected before running operations
[2025-03-25T03:34:00.066Z] [error]: Client must be connected before running operations
[2025-03-25T03:34:00.066Z] [error]: Client must be connected before running operations
[2025-03-25T03:35:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:35:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:35:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:35:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:35:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:35:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:35:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:35:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:35:04.042Z] [error]: HIDE::404::NotFound::Route not exist!::
[2025-03-25T03:36:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:36:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:36:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:36:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:36:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:36:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:36:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:36:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:37:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:37:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:37:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:37:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:37:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:37:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:37:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:37:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:38:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:38:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:38:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:38:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:38:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:38:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:38:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:38:00.065Z] [error]: Client must be connected before running operations
[2025-03-25T03:39:00.011Z] [error]: Client must be connected before running operations
[2025-03-25T03:39:00.012Z] [error]: Client must be connected before running operations
[2025-03-25T03:39:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:39:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:39:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:39:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:39:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:39:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:40:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:40:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:40:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:40:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:40:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:40:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:40:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:40:00.065Z] [error]: Client must be connected before running operations
[2025-03-25T03:41:00.033Z] [error]: Client must be connected before running operations
[2025-03-25T03:41:00.039Z] [error]: Client must be connected before running operations
[2025-03-25T03:41:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:41:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:41:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:41:00.063Z] [error]: Client must be connected before running operations
[2025-03-25T03:41:00.064Z] [error]: Client must be connected before running operations
[2025-03-25T03:41:00.064Z] [error]: Client must be connected before running operations
[2025-03-25T03:41:00.064Z] [error]: Client must be connected before running operations
[2025-03-25T03:41:00.066Z] [error]: Client must be connected before running operations
[2025-03-25T03:42:00.003Z] [error]: Client must be connected before running operations
[2025-03-25T03:42:00.005Z] [error]: Client must be connected before running operations
[2025-03-25T03:42:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:42:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:42:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:42:00.061Z] [error]: Client must be connected before running operations
[2025-03-25T03:42:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:42:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:42:00.065Z] [error]: Client must be connected before running operations
[2025-03-25T03:42:00.065Z] [error]: Client must be connected before running operations
[2025-03-25T03:43:00.058Z] [error]: Client must be connected before running operations
[2025-03-25T03:43:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:43:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:43:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:43:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:43:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:43:00.062Z] [error]: Client must be connected before running operations
[2025-03-25T03:43:00.065Z] [error]: Client must be connected before running operations
[2025-03-25T03:43:00.065Z] [error]: Client must be connected before running operations
[2025-03-25T03:43:00.065Z] [error]: Client must be connected before running operations
[2025-03-25T03:44:00.049Z] [error]: Client must be connected before running operations
[2025-03-25T03:44:00.051Z] [error]: Client must be connected before running operations
[2025-03-25T03:44:00.051Z] [error]: Client must be connected before running operations
[2025-03-25T03:44:00.054Z] [error]: Client must be connected before running operations
[2025-03-25T03:44:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:44:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:44:00.059Z] [error]: Client must be connected before running operations
[2025-03-25T03:44:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:44:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:44:00.060Z] [error]: Client must be connected before running operations
[2025-03-25T03:45:00.049Z] [error]: Client must be connected before running operations
